path,total_conversions,total_conversion_value,total_null
iota > alpha > theta > theta > iota > iota,2,5.631,5
lambda > eta > lambda > eta > lambda > lambda,1,1.4480000000000002,3
eta,1,3.537,2
eta,1,1.61,3
lambda > eta,1,1.038,2
theta > beta > alpha > beta > theta > alpha,1,3.0380000000000003,2
eta > epsilon > epsilon > iota > eta,1,3.418,3
eta > eta > alpha > beta > beta > eta,1,4.702,3
iota > iota > iota > beta > beta > alpha > iota > theta > iota > iota > alpha,1,7.642,2
eta > eta > eta > eta > iota,1,1.516,2
eta > eta > eta > eta,2,11.685,5
beta > beta > beta > beta > beta > beta > beta > beta > eta > beta > eta > beta > eta > beta > alpha > eta > beta > eta > beta > eta > beta > eta > beta > eta,1,6.098,3
iota > lambda > iota,1,6.452000000000001,2
iota > iota > beta > beta > theta > theta,1,3.362,3
beta > alpha > iota > beta > alpha > beta > iota,1,2.589,3
alpha > alpha > theta > alpha > eta,1,3.017,2
eta > eta > eta > theta,1,10.7,3
eta,2,5.97866666666667,8
iota > iota > alpha > alpha > alpha,0,0.0,2
iota > eta,0,0.0,2
eta > eta > eta,1,7.6370000000000005,2
eta,1,1.8,2
beta > iota,1,2.419,2
iota > eta,1,3.25,2
theta > beta > beta > lambda > beta > iota > iota > eta > theta > beta > alpha > theta,1,0.925,3
eta > beta > alpha,1,2.423,3
iota > epsilon > alpha,1,2.4859999999999998,3
beta > iota > eta,1,5.99,3
iota > eta,1,3.08,2
iota > eta > iota,2,3.0039999999999996,6
beta > beta > alpha > beta > kappa,0,0.0,2
eta > alpha,0,0.0,3
iota > iota > eta,1,2.625,3
iota > eta,1,5.078,3
theta > beta > eta > theta > alpha,1,5.0169999999999995,2
iota > iota > kappa > alpha > theta > kappa > kappa,1,3.66,2
alpha > alpha > alpha > alpha > iota > alpha > alpha,1,6.5215,6
eta > alpha,2,6.034,5
beta > eta > beta > beta > beta > iota > iota > iota > iota > iota > alpha > alpha > iota > iota,1,4.128,3
iota > iota > eta > alpha,1,5.877999999999999,3
eta > eta > eta,1,4.462,3
eta > beta > theta > beta > beta > theta > iota > iota > iota,1,6.534,3
eta > eta,1,10.033999999999999,3
iota > iota > theta > epsilon > iota > iota > epsilon,1,4.249,3
iota > iota > iota,2,8.50733333333333,8
iota > iota > iota > theta > alpha > theta > alpha > alpha > alpha > alpha,1,2.3890000000000002,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > alpha,1,2.049,3
beta > iota,2,2.846,5
beta > eta,1,5.65,3
iota > iota > theta > iota,1,2.073,2
eta > iota > eta,1,9.979,3
iota > eta > alpha > alpha > theta > alpha > alpha,1,2.5869999999999997,2
lambda > epsilon > theta > theta > lambda > lambda > lambda > lambda,1,5.36,3
beta > beta > eta > eta,1,4.06,3
iota > iota > iota > iota,1,6.024,2
iota > iota > iota > iota > iota > iota > iota > iota > epsilon,1,2.2,3
theta > eta > theta > theta > kappa,1,8.439,2
iota > eta > eta > eta > alpha,1,3.2230000000000003,2
eta > iota > iota > theta > iota > iota > theta > lambda > lambda,1,1.2770000000000001,2
beta > beta > beta > eta > beta,0,0.0,3
eta,1,6.25,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > lambda > iota > iota > lambda > lambda > iota > lambda,1,5.1,2
theta > theta > alpha > epsilon > theta,1,3.418,6
beta > eta > iota > eta > beta > eta,1,7.553999999999999,2
beta > alpha > alpha > beta > beta > beta > beta > beta > beta > beta > alpha > beta > beta > beta > beta > alpha > alpha > beta > beta > beta > beta > beta > alpha > beta > beta > alpha > beta > beta > alpha > beta > eta > beta > beta > beta > alpha > alpha > iota > beta > beta > beta > beta > beta > beta > eta > beta > beta > beta > beta > beta > beta > beta > beta > eta,1,6.537999999999999,3
eta > beta > eta,1,3.6,3
eta > theta > alpha > iota,1,5.7,2
eta > iota > beta > iota > kappa,0,0.0,3
iota > beta > eta > lambda,0,0.0,2
eta > eta > eta,2,5.148,6
iota > beta > eta > beta > eta > iota > theta > iota > beta > eta,0,0.0,2
iota > theta > theta,3,15.435,7
iota > beta > iota > eta > eta > eta > eta > epsilon,1,2.44,3
eta > zeta > eta,1,6.3,2
epsilon > beta > beta > eta > beta > eta > lambda > beta > eta,1,3.373,3
eta > eta,3,10.892000000000001,9
eta > eta > alpha > beta > iota > eta,0,0.0,2
beta > alpha > eta > theta > eta > alpha > eta > eta > eta > alpha,1,7.18,2
beta > beta > beta > alpha,1,0.9,3
eta > epsilon,1,3.4,3
iota > lambda,2,17.402666666666697,8
epsilon > gamma > iota > iota,0,0.0,2
zeta > theta > alpha,1,4.377,3
gamma > theta > theta > epsilon,1,2.2,3
beta > beta > theta > eta,1,1.286,3
theta > alpha > alpha > eta > eta > eta > eta > theta > beta > eta > eta,0,0.0,2
iota > theta > alpha > alpha > iota > alpha > iota,1,5.857,3
theta > beta,1,2.326,3
eta > beta > eta > beta > eta > beta > eta,0,0.0,3
iota > iota > iota,1,3.7110000000000003,2
eta > alpha > alpha,1,5.435,2
theta > iota > theta > theta > theta > theta,3,6.523,8
alpha > alpha > alpha > iota > alpha > lambda > lambda > alpha,0,0.0,2
iota > iota > theta > iota > theta,1,6.88,3
iota > theta > alpha > alpha > iota,0,0.0,3
beta > beta > iota > iota > beta > lambda > alpha,0,0.0,2
iota > lambda > theta > alpha,1,9.595,3
eta > eta > theta,1,2.861,2
iota > beta > eta,2,9.80733333333333,8
iota > iota > alpha > iota > zeta > lambda > lambda > iota > kappa,1,10.027000000000001,3
beta > alpha > iota,1,1.05,2
iota > iota > beta > iota,1,1.3,2
eta > eta > theta,0,0.0,2
theta > eta,1,4.3,3
iota > iota > iota,0,0.0,3
eta > beta > eta > eta > eta > iota,1,11.933,2
eta > theta,1,2.5069999999999997,2
iota > iota > iota > iota > iota > lambda > alpha,1,2.3819999999999997,2
eta > eta > eta,2,9.57,5
beta > iota,0,0.0,3
beta > eta > lambda > theta > beta > epsilon > beta > alpha > eta,1,8.072000000000001,3
iota > beta > eta > beta > eta,1,1.7930000000000001,2
iota > beta > beta,2,5.662000000000001,6
beta,1,2.266,3
iota > eta,0,0.0,3
beta > beta > beta > beta > lambda > alpha,1,3.36,3
beta > beta > eta > beta > eta,1,4.144,3
eta > eta > beta > eta > kappa > kappa > kappa > beta > eta > beta > beta,1,1.635,3
beta > eta > eta > eta > alpha,1,15.58,2
theta > iota > alpha > alpha > theta > iota > iota > alpha > alpha > alpha,1,1.785,2
eta > iota,2,7.638999999999999,6
iota > iota > eta > eta > iota,0,0.0,2
beta > iota > iota > iota,1,2.338,2
eta > eta > beta > eta > beta > beta > eta > theta > eta > theta,1,3.5,2
eta > alpha > alpha > alpha > iota > eta > alpha,1,3.3,3
lambda > lambda > theta > lambda > theta > eta > lambda,0,0.0,2
beta > eta,1,3.2,3
theta > eta > iota > eta > eta > iota > iota > iota > eta > alpha > eta > eta,1,5.737,2
beta,3,7.9,9
beta,1,4.6,2
eta > zeta > eta,1,2.367,2
iota > eta > beta > iota > iota > iota > zeta > iota,1,1.6,3
beta > iota > beta > beta > iota > beta > eta,0,0.0,2
theta > lambda > iota > theta > iota,0,0.0,3
iota > iota > beta > eta > eta > iota > beta > eta > beta > eta,1,2.2,3
beta > eta > eta > beta > eta > beta > eta,0,0.0,3
lambda > lambda > lambda > kappa > alpha,1,7.62,3
beta > kappa > kappa,1,2.3369999999999997,2
iota > eta,1,2.543,3
theta > alpha > kappa > kappa,1,5.04,3
epsilon > beta > beta > eta > epsilon,1,4.1930000000000005,3
beta > lambda > alpha > eta > eta > eta > iota > eta,1,1.403,2
iota > iota > alpha > iota > iota > theta > iota > iota > iota > iota > iota > iota > iota,1,1.7409999999999999,3
beta > eta,1,2.58,2
iota > eta,1,2.2,3
beta > beta > iota > iota > theta > kappa > theta > kappa > theta,1,4.646,3
lambda > lambda > lambda > lambda > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > lambda > alpha > lambda > lambda > alpha,1,1.5,3
beta > beta > lambda > epsilon,0,0.0,2
iota > iota > beta,1,2.329,3
eta > epsilon,1,3.0980000000000003,2
beta > alpha > eta,1,3.6460000000000004,3
eta > eta > eta > eta > eta > eta > eta > eta > iota > iota > eta > eta > eta > eta,1,4.809,3
lambda > theta > iota > beta,1,1.3,2
eta > iota,1,4.769,2
beta > eta > beta > zeta,1,2.166,2
beta > beta > eta,1,3.72,3
beta > lambda,1,13.501,2
iota > eta,1,1.8780000000000001,2
iota > alpha > alpha > iota > alpha > alpha > alpha > lambda > iota > iota > alpha > lambda > lambda > alpha > alpha,1,0.6,3
theta > eta,1,5.26,2
beta > eta > epsilon,1,3.647,2
eta > iota > iota > eta > iota > eta > iota,1,4.998,2
iota > theta > eta > zeta > epsilon,0,0.0,3
eta > alpha,1,1.8,3
beta,1,14.085999999999999,2
iota > theta > zeta > eta > iota,1,2.557,2
iota > theta > iota > iota > iota > iota > epsilon > epsilon,0,0.0,2
iota > gamma > eta,1,0.065,3
beta > beta > beta > beta > beta > beta > beta,0,0.0,3
iota > iota > iota > alpha,1,9.273,2
gamma > iota > alpha > iota > lambda,1,2.09,2
beta > iota > alpha,1,4.484,3
eta > eta,3,8.559,11
iota > alpha > iota > eta > iota > theta > iota,1,4.102,2
eta > theta,1,3.2,2
iota > zeta > iota > theta > alpha,0,0.0,6
iota > iota > iota > iota > alpha > alpha > eta > iota > iota > iota > alpha > iota > iota > iota > iota,1,2.64,3
iota > eta > beta > kappa > alpha > theta > iota > iota > iota,1,4.7,2
iota > beta > eta,1,0.772,3
beta,1,5.757999999999999,2
theta > eta > beta > eta,0,0.0,3
eta,0,0.0,2
alpha > theta > kappa > kappa > kappa,1,8.449,2
beta > beta > beta > beta > beta > beta > beta > beta > eta > alpha,1,1.7169999999999999,3
beta > eta > beta > beta > beta > alpha > eta,1,3.3710000000000004,2
eta > iota > eta,1,3.221,3
beta > alpha,1,8.622,3
lambda > alpha > iota > lambda > alpha > lambda > lambda > lambda,1,2.61,2
eta,0,0.0,3
iota > iota > iota,1,3.66,3
beta > beta > alpha,3,14.1,8
iota > beta > eta,1,9.1,2
beta > eta > beta > eta,1,3.383,2
beta > beta > beta > beta > zeta > zeta,1,2.7,2
eta,4,2.199,12
beta > eta > eta > epsilon > theta > kappa,1,1.578,3
eta > beta > beta > theta,1,2.87,3
iota > iota > iota > iota > beta > beta > iota > iota > iota > iota > alpha,1,6.1,2
beta > iota > beta,1,0.647,2
gamma > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha,1,12.68,3
lambda > lambda > theta > lambda > lambda > beta > epsilon > lambda,0,0.0,2
iota > kappa,1,1.125,2
beta > eta > beta > beta > eta > beta > eta > beta > beta > beta,1,4.25,2
iota > iota > iota > beta > iota,1,2.6689999999999996,3
alpha > kappa > alpha > alpha,1,2.28,2
beta > eta > iota > iota > iota > beta > theta > lambda > lambda > beta > beta,0,0.0,3
beta,3,21.22,9
alpha > alpha > gamma > lambda > lambda > alpha > alpha > lambda,2,5.261,5
eta > eta > eta,0,0.0,3
iota > iota > iota > iota > alpha > iota > iota > alpha > iota > iota > alpha > iota,1,2.1919999999999997,2
iota > theta > eta > alpha > lambda > lambda > lambda > alpha,1,1.5319999999999998,2
iota > eta,1,4.195,3
iota > eta > alpha > alpha > beta,0,0.0,2
iota > beta > beta > beta > eta > iota > iota > iota > iota > beta > beta > eta,1,3.213,2
eta > eta > eta > eta > eta > eta > eta,1,5.04,2
iota > beta > beta > iota > beta > zeta > beta > iota > zeta > iota > theta > iota > eta > iota > iota > iota > iota > iota > iota > iota > iota,0,0.0,2
iota > iota > iota > iota,1,2.5,3
eta > eta > beta,1,9.35,2
beta > iota,1,9.357000000000001,3
beta > iota > alpha,3,12.999,10
eta,0,0.0,2
lambda > lambda > theta,0,0.0,3
iota > iota > alpha > theta > beta > alpha > iota > alpha,1,24.885,2
iota > iota > zeta > iota > iota > iota > alpha > iota > zeta > zeta > iota > iota > zeta > alpha > iota > iota > iota > alpha > iota > iota > iota > iota > iota > alpha > epsilon > epsilon,1,1.25,2
iota > beta > eta > theta > beta > beta > eta,1,3.707,3
epsilon,1,2.825,3
eta > iota > zeta > beta > iota > iota > alpha > beta > iota > beta > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > kappa > iota > kappa > iota > iota > iota > zeta > iota > iota > zeta > kappa > iota > iota > iota > iota > epsilon > alpha > iota > epsilon > iota > alpha > epsilon > iota > epsilon,1,3.4619999999999997,3
beta > eta,1,5.59233333333333,8
beta > alpha > eta > beta,1,1.67,2
theta > theta > alpha > theta > theta > alpha > alpha,1,2.858,2
beta > alpha > epsilon > beta,1,1.626,3
theta > alpha > alpha > gamma,1,2.326,3
theta > iota > iota > iota > iota > iota > lambda,0,0.0,2
alpha > iota > iota > lambda > iota > lambda > iota > iota > iota > iota,1,3.1060000000000003,2
eta > eta > eta > alpha > eta,1,2.638,3
beta > iota > iota > iota > iota > iota,1,5.82,2
beta > beta > eta > eta,1,1.36,2
beta > beta > beta > beta > beta > beta > beta > beta > beta > iota > beta > beta > eta > iota > eta,1,4.56,2
iota > beta > zeta,1,16.93,3
theta > iota > theta > alpha > alpha,0,0.0,2
iota > alpha > alpha > alpha > epsilon > lambda > kappa > kappa > kappa > kappa > theta > lambda > kappa > kappa,0,0.0,3
eta > alpha > alpha,1,1.26,2
beta > iota > beta > iota > iota > iota,0,0.0,3
beta,0,0.0,3
iota > lambda > lambda > iota > lambda,1,20.935,3
beta > beta > beta > beta > beta > beta,0,0.0,2
eta > theta,1,5.75,3
iota > lambda > alpha > lambda,1,2.125,3
lambda > beta,1,1.24,2
iota > iota > iota > iota > iota > iota > theta > lambda > lambda > lambda > lambda > lambda > lambda > lambda > iota > lambda > beta > iota > beta > lambda > lambda > lambda > lambda > beta > iota > iota > iota > iota > lambda,0,0.0,2
beta > theta,1,5.433,3
eta,1,4.345,2
iota > iota > lambda > lambda > lambda > lambda > lambda > lambda > lambda > iota > alpha > alpha > alpha > iota > lambda > lambda > lambda > lambda,0,0.0,2
beta > beta > beta > alpha > iota > theta,1,4.25,2
eta > alpha > eta > eta > eta,1,1.514,2
theta > iota > iota > iota > iota > beta > iota > eta > iota,0,0.0,2
lambda > eta,1,2.043,2
beta > beta > eta,1,5.192,3
iota > iota > alpha > iota > iota > iota > iota > alpha,0,0.0,3
beta > beta > eta,1,3.333,2
eta > eta > eta > eta,1,2.41,2
iota > beta > eta,1,5.2,2
eta > alpha,1,6.55,2
iota > iota > iota,1,3.9,2
iota > iota > iota > iota > iota > zeta > iota > epsilon,1,4.716,2
theta > beta > iota,1,2.55,2
iota > alpha > alpha > iota > theta > alpha,1,7.266,3
beta > beta > beta > lambda > beta > lambda > beta,1,0.24,3
iota > alpha > epsilon > epsilon,1,3.73,2
eta > eta,0,0.0,2
eta,1,2.0,2
iota > lambda > iota > lambda > theta,1,1.95,2
beta > eta > eta > eta > alpha > eta,0,0.0,2
beta > beta > eta > alpha > theta,1,3.08,2
lambda > lambda > epsilon > alpha,1,11.51,3
kappa > lambda,1,9.134,3
iota > iota > iota > eta > eta > epsilon,1,1.9380000000000002,2
theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > theta > alpha > iota,1,1.5535,5
eta > eta,1,3.355,2
iota > iota > iota > iota > iota > alpha > iota,1,8.976,2
eta,1,3.426,2
beta > beta > beta > eta > beta > beta > beta > theta > beta > eta > beta > beta > beta > alpha > kappa,1,6.228,2
alpha > alpha > zeta > iota > zeta > alpha,1,6.167999999999999,2
eta > lambda > eta,1,1.4380000000000002,3
eta > eta > eta > eta > beta > eta > beta > eta,1,9.302,2
iota > beta,1,1.496,2
beta > beta > alpha > beta,1,1.53,3
iota > zeta > eta > iota > iota > iota > zeta,1,4.61,2
beta > beta > beta > eta,1,1.973,3
beta > beta > beta > eta > epsilon > alpha > beta > epsilon > alpha > kappa,1,2.87,2
iota > eta > epsilon > alpha > eta,1,2.526,3
beta > eta,2,30.523000000000003,5
alpha > beta > iota,0,0.0,2
lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > alpha > epsilon > lambda > theta > lambda > lambda > lambda > lambda > lambda > theta > lambda > lambda > lambda > lambda > lambda > lambda > lambda > theta > lambda > lambda > lambda,1,2.305,3
beta > beta > iota > iota > iota > iota > iota > iota > iota,1,2.95,2
eta > eta > eta,1,3.16,2
eta > alpha > eta > eta > alpha,1,1.5659999999999998,2
alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > beta > epsilon,1,2.833,2
beta > theta > beta > iota > epsilon,1,14.485999999999999,2
theta > epsilon > theta > epsilon > epsilon > epsilon,1,1.6,3
eta,1,10.162,3
beta > eta > eta > eta > iota > iota > beta,1,6.04,2
eta,0,0.0,3
gamma > gamma > alpha > gamma,1,2.86,2
beta > iota > iota > iota > beta > iota > iota > alpha > alpha > iota > iota,1,8.4,3
lambda > lambda > lambda > iota > theta > epsilon > lambda > lambda > lambda,1,6.685,3
iota > eta,1,5.129,3
iota > zeta > alpha > alpha > alpha > alpha,1,1.92,2
beta > eta,4,13.545,13
lambda > lambda > kappa > kappa > theta > beta > eta > iota > lambda > lambda > lambda > lambda > lambda > lambda,1,1.175,2
beta > beta > iota > beta > epsilon > epsilon > epsilon > beta > alpha > alpha > eta,1,10.5,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > epsilon,1,4.415,2
eta,2,7.553999999999999,6
beta > beta,2,5.292999999999999,5
alpha > beta > epsilon,1,20.269000000000002,3
iota > iota > iota > iota > theta > alpha > iota,1,8.56,2
eta > theta > iota > theta > theta > eta > iota > eta > beta > eta,1,2.2,2
beta > beta > beta,1,3.2460000000000004,2
beta > beta > beta > beta > beta > eta,1,1.32,3
iota > beta > iota > iota > iota > iota > iota > iota > alpha > alpha > theta > iota > theta > alpha > iota > iota > iota > iota > iota > alpha > iota > iota > iota > iota > theta > beta > iota > theta > iota,0,0.0,3
eta > eta,1,4.14,3
beta > eta > theta > beta > alpha > alpha > alpha > alpha > eta,1,2.155,2
iota > iota > alpha,0,0.0,5
theta > eta > theta,1,3.0,2
alpha > eta,0,0.0,2
eta > eta > eta,0,0.0,3
eta > beta > beta,1,4.3,2
beta > eta,1,16.3865,6
lambda > eta,1,2.398,2
lambda > theta > alpha > alpha > zeta,0,0.0,3
iota > beta > iota > beta > iota > beta > beta > beta > iota > iota,0,0.0,2
theta > beta > lambda > beta > beta,1,2.806,2
eta > theta > eta,1,4.64,3
iota > beta > beta > lambda > lambda > lambda,1,5.4,3
eta,0,0.0,3
lambda > lambda > iota,1,2.6910000000000003,3
iota > iota > iota > iota > iota > iota > lambda > lambda > lambda > iota > alpha > alpha > alpha,1,5.709,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > alpha > beta > theta,3,6.1,7
beta > beta > beta > beta > eta > beta > beta > beta > alpha > lambda > beta > lambda,1,2.55,3
eta > eta > eta > eta,1,3.36,2
eta > theta > theta > alpha > alpha > iota > theta,1,2.7,2
beta > beta > alpha > beta,1,1.724,2
alpha > theta > eta > lambda,0,0.0,3
beta > kappa > beta > beta > beta > alpha > alpha > iota > eta > iota > beta,1,3.091,2
lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > theta > lambda > lambda > lambda > lambda > lambda,1,2.4,2
beta > beta,1,0.63,2
epsilon > iota > beta > beta > beta > beta > iota,0,0.0,3
gamma,1,4.001,6
beta > eta > iota > iota > beta > theta > eta > beta > beta > iota > theta > beta > eta > beta > eta > beta > eta > zeta > eta > beta > beta > beta > beta > beta > theta > eta > eta > beta > iota > eta,0,0.0,2
beta > theta > eta > theta,1,2.19,2
beta > iota > iota > eta,1,8.604,2
eta > eta,1,1.1,2
beta > eta,1,4.833,9
iota > kappa > theta > kappa > kappa,1,4.1,2
beta > eta > theta > alpha > eta > iota > epsilon > epsilon,1,4.94,2
iota > kappa > iota > iota > kappa > kappa > iota,1,1.056,2
iota > theta > alpha > theta > iota > beta > theta > beta > eta > beta > beta > alpha,1,2.045,2
alpha > eta > eta,1,3.27,3
beta > eta > eta,1,13.624,2
eta > eta > eta > eta > eta > eta > eta > eta,1,2.9789999999999996,3
iota > iota > alpha > alpha > alpha,1,4.1739999999999995,3
eta,16,57.9816,58
iota > iota > iota > iota > iota > iota > iota > iota,1,4.734,2
iota > iota > iota > eta > eta > iota > eta > eta > iota > iota > iota > iota > iota > theta > iota > iota > iota,1,3.7680000000000002,2
iota > beta > eta > iota > eta > eta > eta > iota > beta > eta > beta > eta > eta > beta > alpha > alpha > eta > iota > eta > beta > eta > beta > eta > beta > eta > beta > eta > beta > eta > beta > eta > beta > iota > beta > beta > beta > beta > eta > eta > beta > eta > kappa > beta > eta > beta > alpha > eta > kappa > kappa > theta > kappa > kappa > beta > eta,1,16.272000000000002,2
eta > eta > eta,1,3.946,3
iota > lambda > iota > iota > beta > eta > lambda > lambda > lambda > lambda > lambda > lambda,1,5.8260000000000005,3
iota > epsilon > iota > zeta > zeta > alpha > zeta > alpha,0,0.0,3
theta > iota > iota > alpha > lambda > alpha > lambda > eta > alpha > iota > lambda > iota > lambda > lambda > alpha > lambda,1,21.888,2
iota > iota > beta > eta > beta > eta > beta > eta,1,15.017999999999999,2
eta > beta > eta,1,16.758,2
iota > beta > eta,1,4.131,2
iota > theta > theta > iota > iota > iota > iota > theta > iota > theta > iota > theta > iota > theta,2,4.418,6
theta > iota > iota > alpha > alpha > iota > iota > iota > alpha > alpha > iota > iota,1,1.6,3
beta > eta > epsilon,1,1.9,3
iota > alpha > alpha > alpha > alpha > alpha > alpha > lambda > lambda > lambda > lambda,0,0.0,2
theta > beta > theta > beta > eta > beta > iota > beta > iota > theta > beta > beta > beta > beta > eta,0,0.0,3
iota > iota > gamma > iota > iota,1,5.08,6
eta > alpha,0,0.0,3
eta > lambda,1,1.575,2
iota > iota > eta > beta > eta > eta > iota > iota > beta > eta > iota > eta > beta > eta > beta > epsilon,1,3.1919999999999997,2
eta > lambda > eta,0,0.0,2
beta > eta > beta > eta > beta > eta > eta > eta > eta > eta > beta > eta,0,0.0,3
iota > zeta > zeta > lambda > lambda,1,6.587000000000001,2
theta > iota > eta > iota > alpha > iota > alpha > theta,1,4.9,3
beta > eta > theta,1,5.3629999999999995,3
beta > iota,0,0.0,2
iota > eta > eta > theta > lambda > theta > iota > lambda > theta > iota > lambda > theta > lambda > theta > iota > theta > theta > theta > lambda > lambda > theta > lambda > theta > theta,1,1.97,3
beta > eta > beta > eta,1,2.217,3
epsilon > gamma > alpha,1,2.15,3
theta > theta > iota > iota,0,0.0,3
iota > alpha > iota > theta > gamma > alpha,0,0.0,3
eta > eta,1,2.3,3
lambda > alpha > lambda > lambda > lambda > lambda > alpha > beta > alpha,1,0.9159999999999999,3
iota > lambda > alpha,6,19.542,19
eta,1,3.786,6
iota > iota > iota > zeta > alpha > eta > eta > alpha > alpha > eta,1,7.1,2
theta > lambda > lambda > eta,1,1.8730000000000002,2
iota > iota > iota > beta,1,6.4,3
iota > alpha > alpha > alpha > iota > zeta > alpha,1,6.093999999999999,2
beta,2,4.953,5
iota > iota > iota > alpha > iota > beta > iota > beta > theta > beta > alpha,1,2.8360000000000003,2
beta > iota > beta > iota > beta > beta > iota > beta > alpha > eta,1,2.76,2
iota > iota > iota > zeta > alpha,1,10.183,2
iota > theta > iota > iota > iota > iota > iota > iota > iota,1,1.993,2
beta > beta > eta,1,5.048,2
iota > theta > iota > iota > alpha > alpha,1,4.36,3
iota > iota > iota > iota > iota > iota > lambda > iota > eta > alpha > zeta > theta > alpha,1,2.22,2
beta,1,1.53,2
beta > iota > beta > eta > beta > eta > epsilon,1,2.444,2
iota > eta,1,10.8,6
beta > theta > theta > iota > iota > iota > iota > zeta > theta > iota,1,4.768,3
iota > iota > iota > iota,1,3.5980000000000003,3
iota > lambda,3,10.217,10
iota > iota > iota > iota,0,0.0,2
iota > iota,0,0.0,2
beta > beta > beta > iota,1,10.405999999999999,3
iota > eta > eta,0,0.0,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > alpha > iota > iota > iota,0,0.0,2
eta > iota > lambda > lambda,0,0.0,3
kappa > zeta > kappa,0,0.0,2
theta > eta,0,0.0,2
iota > iota > iota > alpha > iota > gamma,1,3.8,3
beta > iota > beta > eta,1,2.544,2
eta > beta > theta > beta > beta > iota > iota > beta > iota > beta > theta > iota > iota > theta,1,3.947,2
iota > iota > iota > iota > iota > iota > lambda,1,4.348,3
iota > eta > beta,1,2.123,3
iota > theta > alpha,42,195.071032258064,169
beta > iota > iota > theta > iota > iota > theta > alpha,1,3.85,2
iota > iota > alpha > epsilon > gamma > alpha,1,2.918,2
iota > zeta > iota > iota > iota > iota,1,3.196,2
iota > iota > iota > zeta > alpha > beta > beta > lambda,1,4.8,2
alpha > eta,1,1.2930000000000001,2
iota > iota > iota > iota,1,1.2,2
theta > beta > theta > alpha > alpha > theta > alpha,1,10.534,2
iota > iota > iota > alpha > lambda > alpha > alpha > alpha,0,0.0,3
iota > iota,1,2.705,2
beta > beta > beta > beta > beta > beta > beta > beta > eta,1,2.205,3
eta > eta > eta > eta > kappa > eta > alpha,2,5.71,6
kappa > eta,1,2.51,3
eta > iota > iota > alpha > theta > alpha > iota,1,6.906000000000001,3
kappa > beta > theta > alpha > theta,0,0.0,2
alpha > iota > theta,1,3.2,2
iota > iota > theta > alpha > iota,1,7.864,2
iota > iota > iota,1,2.86,3
iota > eta > beta,1,5.45,3
beta > beta > theta > alpha > epsilon > eta,0,0.0,3
beta,1,15.204,2
theta > alpha > beta,1,3.262,2
lambda > iota,13,45.1405882352941,50
iota > iota,1,1.25,2
eta > eta > alpha,1,14.009,2
eta > eta > eta > eta > eta > eta > eta > iota > eta > iota > eta > alpha > alpha,0,0.0,2
eta > eta,2,8.054,5
iota > iota > iota > iota,0,0.0,2
lambda > lambda > theta > epsilon > lambda > alpha > lambda > alpha,1,1.2,2
iota > eta > eta,1,6.421,3
eta,1,9.93,3
iota > iota > iota > iota > iota > iota > iota > alpha > iota > iota > iota > iota > iota > theta > iota,1,2.395,3
beta > eta,1,2.5660000000000003,2
epsilon > iota > beta > iota > theta > iota,1,3.4330000000000003,2
iota > iota > eta > eta > eta,1,1.159,3
beta > iota,1,2.282,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > beta > eta > eta > beta > beta > epsilon,1,2.1,3
iota > iota > zeta > lambda > lambda,1,1.24,2
iota > iota > iota > iota > beta > alpha > iota > beta > alpha > iota > iota > epsilon,1,2.9,2
lambda > iota > alpha > alpha > iota,1,2.1715,6
iota > eta,1,2.864,2
epsilon > alpha > theta > alpha > alpha > alpha > alpha > alpha > lambda > epsilon > lambda,1,22.174,2
eta > eta,1,7.086,3
iota > iota > theta > iota > zeta,1,3.8,3
iota > iota > eta > kappa > kappa > kappa > eta > theta > lambda > lambda,1,1.9,2
iota > beta > lambda,1,6.175,2
iota > theta > iota > iota > iota > beta > beta > eta > beta > iota,1,4.052,3
eta > iota,1,3.98,3
beta > iota > eta,0,0.0,3
beta > eta > beta > eta,1,5.47,3
iota > iota > iota > iota > iota > iota > beta > iota,1,6.617000000000001,3
iota > iota > alpha > theta > beta > beta > iota > iota > alpha > iota > iota,1,3.8080000000000003,2
lambda > theta > lambda > lambda > lambda > epsilon,1,7.0920000000000005,2
iota > beta > eta,1,3.464,3
iota > alpha > alpha > alpha > alpha > alpha > alpha,1,1.99,2
beta > beta > gamma > theta > gamma,1,11.42,2
iota > iota > iota > iota > alpha > iota > iota > iota > iota > iota,1,1.1,2
iota > theta > iota > epsilon,1,1.702,3
eta > alpha > eta,0,0.0,3
beta > eta,2,6.295,6
